Name,Age,City,Score,Hours_Study,Projects,Efficiency
Sara Golden,16,Herrerastad,1,1,1,1.0
Jessica Harper,13,Pearsonhaven,8,4,3,2.0
Scott Holmes,11,West Jennifermouth,8,3,2,2.6666666666666665
Brandi Miller,15,Smithshire,3,1,3,3.0
Luis Williams,15,Lake James,4,1,3,4.0
Jordan Crawford,18,West Suzanneshire,8,5,3,1.6
Terry Lowe,13,Margarethaven,6,4,3,1.5
Austin Christensen,16,Lake Xavier,2,4,1,0.5
Terrance Matthews,15,East Jacobland,9,4,3,2.25
Aaron Orozco,15,Frankmouth,12,2,1,6.0
David Mcdaniel,18,North Nicholas,4,5,2,0.8
Jeremy Mann,14,Port Edward,1,4,3,0.25
Brian Peterson,16,North Sarahtown,4,3,1,1.3333333333333333
David Taylor,16,North Jamesfurt,6,3,3,2.0
John Jarvis,15,Port Timothymouth,7,1,2,7.0
Claudia Becker,12,Port Tanya,6,1,1,6.0
Tracy Wilson,17,North Amandaview,6,4,1,1.5
Richard Roberts,14,Claytonfurt,3,2,1,1.5
Shannon Huang,12,North Debbie,8,5,1,1.6
Courtney Wright,15,New Chelsea,11,5,2,2.2
Angela Mccarthy,18,Batesview,8,3,1,2.6666666666666665
Melissa Phillips,12,Jimmyside,6,5,3,1.2
Erik Gomez,10,Muellerfort,2,2,1,1.0
Erica Garcia,13,Petersonburgh,11,5,2,2.2
Arthur Hill,15,Lake Jacobland,10,2,2,5.0
Jeremy Lopez,14,Lake Tara,9,3,1,3.0
Anita Gomez,13,North Jessicashire,5,1,2,5.0
Daniel Dunn,16,New Scottport,9,4,1,2.25
Barbara Whitehead,11,North Keith,11,2,3,5.5
Jennifer Brown,17,New Lindsayfort,5,5,1,1.0
Marcia Hickman,17,Stewartstad,2,1,1,2.0
Brian Thornton,18,Patriciaside,2,3,3,0.6666666666666666
John Stone,14,Dennisport,6,4,2,1.5
Amber Miller,16,Anthonyville,9,1,3,9.0
Crystal Butler,11,Port Kaylaport,7,3,2,2.3333333333333335
Jennifer Cooper,15,East Richardburgh,2,2,2,1.0
Brett Gutierrez,15,Hinesfort,5,5,1,1.0
Mark Willis,12,East Kristen,6,3,1,2.0
Mary Miller DDS,17,Andrewmouth,6,3,2,2.0
Annette Johnson,18,Jacksonhaven,6,4,2,1.5
Kimberly Davis,13,Bellhaven,10,4,3,2.5
Brandy Kramer,10,Stoutfurt,11,4,3,2.75
Jasmine Hinton,18,West Scottton,1,2,1,0.5
Carolyn Thomas,12,Lake Tricia,5,1,1,5.0
Todd Pena,15,East Joshuaburgh,4,3,1,1.3333333333333333
Michael Clark,11,Port Karen,12,5,1,2.4
Claudia Perry,17,Mariatown,12,1,2,12.0
Steven Hatfield,17,South Monica,3,1,1,3.0
Jean Brown,12,Nicoleview,10,5,1,2.0
Debra Reyes,13,New Brady,8,3,2,2.6666666666666665
Tamara Smith,14,Hessberg,4,5,2,0.8
Carrie Rodriguez,18,East Tracy,6,5,1,1.2
Tracy Foley,10,Kimtown,3,3,3,1.0
Patrick Cohen,15,Colemanchester,5,4,2,1.25
Jade Gray,10,South Jon,12,1,2,12.0
Devin Reyes,15,Moralesland,6,4,1,1.5
Erica Barnes,18,Wilsonberg,6,5,2,1.2
Dawn Brown,11,Craigborough,5,1,2,5.0
Cole Mckinney,15,New Michaelville,3,4,2,0.75
Nicholas Wall,12,Davidville,6,3,1,2.0
Donna Fuentes,10,East Nancy,11,1,1,11.0
Theodore Perez,15,Port Craig,11,4,1,2.75
Kenneth Miller,18,North Alexandrachester,11,1,3,11.0
John Rose,10,Nelsonmouth,2,2,1,1.0
James Lawrence,14,Houstontown,2,4,1,0.5
Wayne Williams,14,New Douglasside,3,1,2,3.0
Michelle Love,18,Michaelchester,11,5,2,2.2
Rebecca Lee,15,South Dianehaven,8,5,2,1.6
Benjamin Tran,17,Port Kyleberg,8,3,1,2.6666666666666665
Nicole Cross,15,Port Darrell,6,2,2,3.0
Larry Martin,14,New Christopherborough,4,2,3,2.0
Paige Brown,17,West Amyshire,5,4,1,1.25
Elizabeth Brown,18,Camposside,11,2,1,5.5
Kimberly Nelson,18,Contrerasmouth,7,5,1,1.4
Timothy Frank,11,Port Shawnborough,7,5,3,1.4
Sean Thompson,14,Cynthiaton,6,5,3,1.2
Michele Mendez,10,Port Davidfort,1,4,2,0.25
Christina Davis,11,Christinaton,10,4,3,2.5
Christine Bonilla,16,New Audrey,12,5,2,2.4
Amy Brady,10,South Troyborough,3,5,2,0.6
Christopher Beck,14,Jacksonside,5,3,3,1.6666666666666667
Rebecca Harper,11,Port Jenniferside,12,3,3,4.0
Mary Vargas,13,East Howardchester,2,5,3,0.4
Kayla Vasquez,12,South David,8,1,1,8.0
Micheal Hale,16,South Annette,6,4,1,1.5
Thomas Delgado,15,East Deborahchester,5,1,2,5.0
Jordan Garcia,16,Port Aliciatown,11,3,3,3.6666666666666665
Bryan Turner,14,Lake Carolton,11,1,3,11.0
Stephanie Nelson,14,Williammouth,7,4,3,1.75
Raymond Moody,15,Valdezfort,2,1,3,2.0
Alicia Smith,17,West Jeremy,5,5,1,1.0
Richard Carter,13,South Marissa,7,2,1,3.5
Gerald Edwards,18,Port Victoriaburgh,9,1,3,9.0
Connor Wheeler,11,Dawnborough,12,2,2,6.0
Ashley Fleming,13,East Craigtown,5,1,3,5.0
Megan Wright,14,New Travisstad,11,2,1,5.5
Joe Davis,14,Stephenchester,11,5,1,2.2
Nicole Bird,11,Michaelchester,10,4,2,2.5
Brent Williams,11,Amyfort,12,2,1,6.0
James Odom,14,Richardshire,12,5,1,2.4
Todd Haney,10,Martinezland,1,2,3,0.5
Juan Bennett,12,North Barry,11,1,1,11.0
Lisa Flores,18,Mackenziefort,6,5,1,1.2
Jerry Baker,17,Strongview,7,3,3,2.3333333333333335
Brian Clark,14,Mitchellmouth,5,5,1,1.0
Stephanie Gonzalez,13,South Robert,6,3,2,2.0
William Perkins,13,South Melissaport,12,4,2,3.0
Christine Vaughn,18,Port Ruben,1,1,2,1.0
Aaron Wagner,16,Laraview,11,5,1,2.2
Jackie Brown,17,Monroemouth,3,5,3,0.6
Ashley Green,16,Nguyenfort,10,4,3,2.5
Austin Carter,16,Ramirezbury,7,2,3,3.5
April Delgado,13,New Gary,4,2,3,2.0
Darren Briggs,12,Kellystad,6,4,1,1.5
Tony Gray,12,North Madison,6,5,3,1.2
Amber Hansen,11,Marshallview,9,5,2,1.8
Robert Espinoza,15,New Katelyn,4,3,1,1.3333333333333333
Randy Shaw,14,Arroyobury,3,1,3,3.0
Jennifer Brown,18,Port Garyshire,1,4,3,0.25
Miguel Hernandez,16,Smithfurt,5,5,1,1.0
Bryan Gray,10,West Ronaldfort,12,2,2,6.0
Christopher Bates,14,Port Joshua,5,1,3,5.0
Kerry Vasquez,16,North Ann,1,2,2,0.5
Oscar Lee,12,Churchview,8,4,1,2.0
Johnny Barnes,15,Hallberg,11,3,3,3.6666666666666665
Eddie Allen,18,North Stevenburgh,1,1,3,1.0
Gregory Parks,15,South James,7,2,1,3.5
Christopher Adams,15,Lake Jason,8,2,3,4.0
Amy Hopkins,10,Kevinbury,11,4,3,2.75
Darren Camacho,12,Whiteberg,11,3,1,3.6666666666666665
Andrea Humphrey,11,Carlostown,5,1,3,5.0
Jeffrey Johnson,17,West Christopherhaven,10,3,2,3.3333333333333335
Terry Mcknight,15,Andersonstad,1,3,3,0.3333333333333333
Jason Chan,18,Lefurt,10,1,3,10.0
Adam Petty,17,North Paul,1,4,3,0.25
Krista Cannon,15,Sotoport,9,4,2,2.25
Gregory Pena,13,Johnathanstad,2,5,1,0.4
Terri Massey,13,West Bryanberg,11,4,2,2.75
Christopher Mitchell,12,Hillport,11,2,2,5.5
Dawn Miller,13,Port Jason,3,5,3,0.6
Natalie Murphy,16,Cynthiashire,9,4,3,2.25
Casey Flores,13,Alyssaberg,10,2,2,5.0
Tracy Barrera,11,North Deborah,11,2,2,5.5
Ryan Jacobs,15,South Angelicafurt,8,5,3,1.6
Randy Davila,17,Lake Lisa,3,3,2,1.0
Robert Martinez,12,North Jamiechester,7,3,1,2.3333333333333335
Carrie Edwards,16,New Alexander,3,3,2,1.0
Victoria Benton,12,Matthewborough,5,1,3,5.0
Stephanie Simmons,13,Gardnershire,4,4,3,1.0
Beth Martin,15,East Mariahaven,6,3,3,2.0
Lori Fowler,17,Michelleshire,7,5,2,1.4
Courtney Cummings,11,Williamsborough,2,4,2,0.5
Kenneth Wood,10,North William,4,5,1,0.8
Richard Clark,12,Transhire,5,4,3,1.25
Trevor Thomas,16,Port Kristen,4,5,1,0.8
Jeremy Bean,11,Ashleyport,6,4,1,1.5
Benjamin Huang MD,18,Brianshire,3,4,1,0.75
Emily Carpenter,15,Williamshaven,4,4,1,1.0
Joseph Harding,10,New Samantha,8,4,1,2.0
Mrs. Autumn Harris,16,Matthewport,5,4,1,1.25
Christopher Perez,11,Jillianshire,1,5,3,0.2
Keith Wilkinson,15,Christensenmouth,2,4,2,0.5
Sergio Dickerson,18,New Donaldview,4,5,2,0.8
Keith Miller,13,Waynemouth,10,5,1,2.0
Michael Landry,10,New Tiffanyland,7,1,2,7.0
Eric Johns DVM,13,Yolandastad,12,1,3,12.0
Amber Harris,11,Destinyshire,3,4,1,0.75
Robert Harris,10,Lake Dale,3,1,2,3.0
Jonathan Jackson,14,New Amanda,9,2,1,4.5
Timothy Brown,17,Karenchester,11,4,3,2.75
Joel Holmes,15,Deborahchester,8,1,3,8.0
Daniel Davis,14,Morenoville,5,1,3,5.0
Douglas Rodriguez,18,West Sara,8,2,1,4.0
Travis Ramos,17,New Dariusburgh,12,4,1,3.0
James Moore,14,Michaelville,4,4,1,1.0
Thomas Hensley,17,Reedfurt,11,3,2,3.6666666666666665
Alexandra Morris,18,Leeview,5,4,2,1.25
Harold Williamson,14,Josephhaven,12,4,3,3.0
Leonard Collier,13,South Matthew,5,5,2,1.0
Donna Smith,17,Kerrtown,2,5,3,0.4
William White,15,Youngborough,9,1,2,9.0
James Russell,14,Hayeschester,6,5,2,1.2
Sherry Miller,14,East Curtis,11,3,1,3.6666666666666665
Jennifer Mcdaniel,13,Hebertton,6,4,2,1.5
Bryan Blackwell,11,Brittanyton,1,2,3,0.5
Trevor Greene,12,Perryville,3,3,2,1.0
Nancy Ramos,12,Campbellmouth,2,2,3,1.0
Nicholas Hart,14,Port Josephhaven,9,2,3,4.5
Zachary Leblanc,12,Port Staceyville,4,5,3,0.8
Glenda Haynes,13,East Christopher,10,1,3,10.0
Micheal Miller,17,New Craig,6,3,2,2.0
James Moore,12,South Samanthashire,12,1,2,12.0
Mary Castaneda,12,Franciscobury,7,2,3,3.5
Sabrina Moore,10,Williamview,7,3,2,2.3333333333333335
Donna Reyes,14,Tylertown,1,2,1,0.5
Elizabeth Heath,16,Baileyborough,11,4,1,2.75
Gregory Simmons,15,Gabrielville,1,2,3,0.5
Elizabeth Diaz,15,Andreaburgh,6,1,1,6.0
Hannah Perez,11,Lake Cheyennechester,7,4,3,1.75
Rachel Snyder,10,Thomastown,10,1,2,10.0
Reginald Perry,11,Millershire,9,3,1,3.0
Shelly Hill,15,Collinshire,3,5,3,0.6
Nicole Martinez,10,Morganport,7,2,2,3.5
Kimberly Russell,16,New Andrea,4,3,1,1.3333333333333333
Nathan Reyes,14,Port Amy,7,3,2,2.3333333333333335
Ryan Flores,13,South Kenneth,7,4,1,1.75
Joshua Arnold,13,Garciaview,8,1,3,8.0
Roger Thomas,12,Anthonyfort,9,5,2,1.8
Rachel Bridges,18,Johnmouth,2,3,3,0.6666666666666666
Mark Dunn,11,Michaelville,1,1,3,1.0
Denise Scott,10,Ryanborough,12,2,2,6.0
Jennifer David,10,Davisberg,8,4,2,2.0
Martha Olson,18,Timothymouth,9,2,3,4.5
Leah Stewart,15,Parkerport,2,5,2,0.4
Justin Murphy,14,Joshuabury,7,5,3,1.4
Harold Watkins,14,Lake Karenport,12,4,2,3.0
Victoria Porter,17,North Amberborough,6,1,1,6.0
Lynn Ford,13,South Nataliefurt,3,4,1,0.75
Morgan Wilson,10,Amyfort,11,1,3,11.0
Lisa Tran,11,Lake Christophertown,6,1,1,6.0
James Murray,11,New Sarah,11,3,1,3.6666666666666665
William Smith,16,Hayestown,5,5,3,1.0
Lawrence Jones,12,Williamfort,12,2,1,6.0
Jeffrey Bradshaw,17,Kylefurt,4,4,3,1.0
Annette Wilson,11,Andersonfurt,2,2,2,1.0
Robert Miranda,15,Port Michael,6,3,1,2.0
Ashley Boyle,15,Perryton,7,5,2,1.4
Tina Lewis,11,West Sara,3,2,2,1.5
Kara Bryant,16,South Stanley,3,4,3,0.75
Christopher Reyes,14,Garnerhaven,6,4,3,1.5
Amy Barker,17,Schwartzfort,8,4,3,2.0
Laura Moore,12,Kennethburgh,11,4,3,2.75
Anthony Rojas,16,South John,3,3,3,1.0
Michelle Cruz,15,Jonesport,9,4,3,2.25
Kaitlin Burnett,17,New Charlesstad,2,3,1,0.6666666666666666
Casey Shah,18,Cortezfurt,9,5,3,1.8
Lauren Bean,12,West Deniseport,4,4,1,1.0
Cody Robinson,18,Lake Laurenstad,8,5,3,1.6
Kelly Boone,13,Beckyfurt,7,3,3,2.3333333333333335
William Williamson,12,New Christopher,9,1,1,9.0
Jeffrey Baird,16,Lake Andrew,11,4,3,2.75
Daisy Holmes,10,South Melissatown,9,2,3,4.5
Ralph Mckinney,14,Robertton,11,2,3,5.5
Ashley Ramirez,16,West Alexandermouth,4,4,2,1.0
John Taylor,11,Prattstad,6,2,1,3.0
Mary Evans,17,Lake Barbara,12,1,2,12.0
Caitlyn Hernandez,13,West Lindsey,10,1,1,10.0
Jennifer Smith,14,Sandrahaven,10,4,1,2.5
Andrew Michael,13,West Nicholas,11,5,3,2.2
Alan Day,14,Lake Crystal,3,5,2,0.6
Morgan Smith,12,Reedberg,8,2,3,4.0
Kim Peters,18,Lake Kathleenville,10,5,2,2.0
Cindy Stafford,13,Port Reginald,7,5,2,1.4
Kristina Jackson,14,North Kennethville,4,3,3,1.3333333333333333
Crystal Smith,14,Lake Ashleyfurt,4,4,2,1.0
Kelly Wright,18,Johnsonbury,1,2,1,0.5
David Jackson,14,Lake Jessicafurt,2,3,3,0.6666666666666666
Jack Thomas,10,North Johntown,8,1,3,8.0
Martin Patrick,18,Port Christopher,12,3,1,4.0
Angela Cantu,14,Joseside,3,1,3,3.0
Michael Kirby,17,Davidfort,11,5,3,2.2
Stephen Jones,12,Baileyborough,1,4,1,0.25
Yolanda Garcia,14,South Diana,9,1,2,9.0
Cameron Cox,11,Markmouth,5,2,2,2.5
Nicole Molina,16,Port Tiffanystad,9,1,2,9.0
Carrie Clark,11,Mackside,10,1,3,10.0
Jillian Davis,10,South Thomasbury,4,2,1,2.0
Crystal Mccarthy,10,South Laurie,12,2,2,6.0
Ashley Franklin,16,New Kristina,10,2,1,5.0
Christopher Ho,13,Dalemouth,7,4,2,1.75
Alexa Grant,16,Tammytown,2,4,2,0.5
Amanda Fischer,14,North Dylan,4,5,1,0.8
Andrew Moon,12,Bassburgh,11,4,1,2.75
Chad Allen,11,Martinezstad,11,4,1,2.75
Alexandra Johnson,10,Millston,6,5,3,1.2
Karen Barnes,15,East Ericfort,10,4,3,2.5
Amy Miller,18,Rachelberg,3,2,3,1.5
Paul Doyle,15,South Sean,1,5,3,0.2
Jack Mills,17,South Tanya,6,5,3,1.2
Cynthia Adams,18,Brianburgh,10,4,3,2.5
Aaron King,10,Ericview,12,4,1,3.0
Bradley Mendez,11,Cameronbury,10,5,1,2.0
Miss Barbara Nelson,18,Dawsonland,12,4,3,3.0
Marcus Rose,10,Meagantown,6,3,2,2.0
Kyle Davis,15,East Katelyn,11,1,1,11.0
Megan Torres,18,West Jasonberg,12,4,3,3.0
Steven Schmidt,17,Port Deannafort,4,2,1,2.0
Beth Watkins,17,Michaelshire,1,2,3,0.5
Adrian Mcdonald,10,New Robert,3,1,3,3.0
Shannon Kelly,11,West Erica,4,2,3,2.0
Edward Pace,14,Port Alexisview,10,3,3,3.3333333333333335
Thomas White,14,West Reginaldland,12,2,2,6.0
Shannon Lindsey,15,North Tony,1,4,1,0.25
Jessica Kim,15,South Jessicaside,4,5,2,0.8
Christine Carney,11,East Mitchellstad,2,1,1,2.0
Michael Barr,18,East Stephen,11,1,3,11.0
Michael Patterson,17,Scotthaven,5,3,3,1.6666666666666667
Emily Ward,13,New Johnfort,6,3,2,2.0
Ashley Thompson,14,Deborahberg,8,3,2,2.6666666666666665
Rhonda Elliott,12,East William,10,1,2,10.0
Whitney Martin,17,West Walter,11,2,3,5.5
Mark Martin,12,West Eddietown,10,1,2,10.0
Michelle Brown,12,North Sandra,6,1,1,6.0
Howard Duffy,10,West Tyler,1,2,2,0.5
Virginia Johnson,16,Dylanstad,2,4,3,0.5
Barry Clark,12,Waltersborough,3,3,1,1.0
Michael Clark,16,Port Zacharyshire,5,2,3,2.5
Kristine Adams,16,Smithfort,1,1,2,1.0
Desiree Anderson,10,New Kaylaborough,10,2,3,5.0
Desiree Martinez,16,North Andres,3,4,1,0.75
Jennifer Henry,12,South Raymond,3,5,1,0.6
Carolyn Armstrong,11,Leburgh,8,3,2,2.6666666666666665
Stephen Sanders,10,Angelafurt,7,3,1,2.3333333333333335
Donna Jordan,14,Nataliemouth,9,3,1,3.0
Crystal Cervantes,14,Michaelville,6,5,2,1.2
Carlos Davis,10,West Trevorberg,4,5,3,0.8
William Silva,13,West Karistad,7,5,3,1.4
Calvin Marquez,13,New Courtney,6,4,3,1.5
Jacob Rubio,13,Lowefurt,11,2,3,5.5
Rebecca Garcia,11,New Nancyhaven,6,5,2,1.2
Stephanie Jones,15,West Samuelhaven,4,3,3,1.3333333333333333
Antonio Esparza,11,Martinezburgh,1,5,1,0.2
Matthew Brooks,15,Julieville,7,4,3,1.75
Katherine Snyder,10,North Matthew,11,4,3,2.75
Charles Franco,14,Lake Carlosberg,6,2,2,3.0
Jared Patterson,17,West Emilychester,4,3,3,1.3333333333333333
Natalie Livingston,12,West Tiffany,8,4,1,2.0
Tanya Baldwin,11,West Marymouth,1,1,1,1.0
Jennifer Sanchez,17,South Jason,12,3,3,4.0
Shawn Walton Jr.,17,Michealtown,12,3,1,4.0
Randy Sandoval,14,North Katie,5,5,2,1.0
Brian Hill,10,Tatebury,12,4,3,3.0
Melissa Doyle,14,East Barbaraside,12,4,2,3.0
Robin Hughes,13,Palmermouth,10,5,1,2.0
Daisy Cole,14,Rosetown,4,4,2,1.0
Michael Thompson,12,Woodmouth,3,2,1,1.5
Calvin Pierce,11,South Stefaniehaven,5,1,2,5.0
Shawn York,16,Port Edward,8,5,2,1.6
Jessica Bruce,11,Christiechester,4,2,2,2.0
Kenneth Cruz,12,Sharonshire,6,1,2,6.0
April Gonzalez,18,Port David,5,2,3,2.5
Cody Pratt,13,New Hollytown,3,2,1,1.5
Molly Wyatt,14,Moorefurt,1,1,1,1.0
Timothy Brown,15,Kevinstad,8,4,2,2.0
Brianna Bell,15,Buckleyland,11,1,1,11.0
Joshua Huff,13,Ryanhaven,7,1,2,7.0
Richard Bowman,10,Port Ryan,3,1,2,3.0
Colleen Huynh,15,New Keithburgh,5,1,1,5.0
Paul Patel,18,Cookside,11,2,3,5.5
Robert Carter,15,South Michaelport,4,2,3,2.0
Patrick Lewis,10,Lake Jacob,3,1,1,3.0
Robert Becker,18,Lake Robert,11,4,2,2.75
Lisa Humphrey,16,Penafort,4,1,1,4.0
Danielle Patrick,18,New Jessica,6,5,1,1.2
Donald Schultz,17,North Kellyburgh,7,4,1,1.75
Dr. William Castro Jr.,15,Lake Johnside,6,1,3,6.0
Lisa Rivera,16,Millermouth,1,1,1,1.0
Shannon Hall,15,Cunninghamland,8,5,2,1.6
Ashley Henry,15,East Deborah,6,4,1,1.5
Tammy Clark,15,Vincentfurt,12,1,2,12.0
Randy Turner,12,Collinsshire,11,4,2,2.75
Eric Davis,18,Samuelfort,10,1,1,10.0
Brittany White,18,Tatestad,7,3,2,2.3333333333333335
Kayla Hardy,13,Port Donaldborough,12,2,2,6.0
Mark Lee,13,Nealstad,4,3,2,1.3333333333333333
Rachel Jackson,16,Lake Russell,1,1,3,1.0
Darren Garza,10,Julieport,5,3,2,1.6666666666666667
Brandi Graham,16,Garrisonstad,9,5,2,1.8
Tammy Peterson,18,South Christopherview,4,3,2,1.3333333333333333
David Newman,14,Mollyland,6,2,2,3.0
Kristin Wright,13,Kathyburgh,6,1,2,6.0
Jasmine Mccarthy,12,New Anthony,1,5,1,0.2
Diane Anderson,16,New Brendaville,4,2,3,2.0
Cindy Reilly,12,Port Kristenport,5,4,1,1.25
Andrew Brady,17,Watsonborough,10,2,1,5.0
William Rogers,18,Johnathanfort,8,4,3,2.0
Emily Wood MD,13,North Amanda,3,1,2,3.0
Natalie Taylor,16,North Laurafort,12,4,3,3.0
Joseph Walters,10,Lewisville,10,4,2,2.5
Rebecca Mccoy,14,Mullinschester,3,3,2,1.0
Melissa Deleon,16,Robertmouth,7,1,1,7.0
Mark Simmons,17,Lake Kevinport,2,4,2,0.5
Tara Murray,18,Kennethshire,1,5,1,0.2
Kristen Ingram,10,Duncanside,1,3,1,0.3333333333333333
Sarah Murphy,18,Muellerborough,7,5,3,1.4
Johnathan Jackson,11,Alexandraport,11,2,2,5.5
Monica Hess,16,East Kellyville,4,1,3,4.0
Wendy Mullins,12,Hollandview,5,4,1,1.25
Andrew Medina,17,Johnsonland,8,3,2,2.6666666666666665
Roy Liu,15,Gonzalezfurt,1,5,1,0.2
Brittany Mason,10,Jamesport,1,4,1,0.25
Cindy Pugh,15,Lukemouth,2,4,1,0.5
Mary Baker,10,South Andrew,8,4,2,2.0
Christine Miller,15,Pottsport,7,1,2,7.0
Stacy Jackson,17,Arielchester,4,2,3,2.0
Robert Page,17,Angelicafort,6,3,2,2.0
Pamela Stevens,18,Taylorport,2,4,1,0.5
Susan Hendricks,15,South Taylor,11,3,3,3.6666666666666665
Edgar Ramirez,17,New Edward,4,3,1,1.3333333333333333
Anita Tucker,17,Bergborough,3,5,2,0.6
Tiffany Miller,14,West Aaronland,4,3,1,1.3333333333333333
Joseph Reynolds,12,Whitneymouth,7,1,1,7.0
Roy Tate,10,New Joshua,12,2,1,6.0
Kyle White,14,Hayesmouth,9,4,2,2.25
Gregory Marks,16,Simsview,6,2,1,3.0
Mark Best,11,South Patriciamouth,1,4,1,0.25
Kaitlin Padilla,10,Byrdton,6,4,2,1.5
Richard Rubio,12,Thompsonview,3,5,1,0.6
Gregory Warren,10,Lake Sierratown,1,4,2,0.25
Stephanie Bates,12,Wendyberg,8,5,2,1.6
Stephanie Copeland,12,Youngland,4,3,3,1.3333333333333333
Nicholas Thompson,18,Port Katelyn,7,4,3,1.75
Kelly Smith,16,New Leah,7,3,2,2.3333333333333335
Mark Taylor,15,New Victoria,5,2,2,2.5
Dennis Lopez,11,Lake James,8,2,2,4.0
Terry Yates,17,South Leslie,8,5,2,1.6
Stuart Wood,17,North Jean,9,2,1,4.5
Erika Carpenter,14,Andrewton,7,3,1,2.3333333333333335
Eric Kane,13,Francofurt,11,4,2,2.75
Cassandra Blanchard,10,Port Alan,7,3,3,2.3333333333333335
Briana Marks,18,Kyleland,11,2,2,5.5
Stephanie Estrada,11,Rittermouth,6,4,1,1.5
Erin Gardner,13,Clarkburgh,12,5,3,2.4
Kenneth Thomas,17,Valdezhaven,4,5,1,0.8
Joshua Long,15,Port Brian,2,5,2,0.4
Angela Gonzales,11,Howellchester,10,2,2,5.0
Nathan Colon,11,Susanshire,3,5,3,0.6
Julie Jacobs MD,16,South Lesliehaven,2,5,2,0.4
Brittney Campbell,12,Carlsonshire,1,3,3,0.3333333333333333
Jeffrey Black,14,Krystalburgh,2,3,1,0.6666666666666666
David Key,18,North Justin,10,3,1,3.3333333333333335
Dr. Rhonda Davis,14,Lake Jessicatown,10,2,2,5.0
Christopher Davila,11,Kennethborough,5,3,1,1.6666666666666667
Maurice Harris,12,Taylortown,3,4,2,0.75
Danny Meyers,17,South Alan,5,1,2,5.0
Laura Clark MD,15,Rodriguezhaven,10,1,3,10.0
Cheryl Scott,16,Lake Staceybury,8,4,3,2.0
Michael Alvarado,15,Jacobview,11,2,2,5.5
Shelley Moore,17,Watsonfurt,11,4,2,2.75
Roger Hunter,11,Christopherfort,12,1,1,12.0
Timothy Russell,14,Lake Melissa,2,1,2,2.0
Maxwell Diaz,18,Lake John,12,3,2,4.0
Alicia Hunt,16,East Jeffrey,12,1,3,12.0
Steven Clarke,18,Emilystad,1,3,3,0.3333333333333333
Matthew Randolph,17,Jensenfurt,5,2,2,2.5
Jennifer Fox,10,New Davidside,2,2,3,1.0
Alexandra Gross,14,North Danaland,5,1,1,5.0
Christopher Wood,17,New Lauraport,6,2,2,3.0
David Caldwell,14,Scottland,8,4,2,2.0
Mary Rodriguez,17,North Jamesfurt,10,2,3,5.0
Tara Newton,16,East Debraland,8,2,1,4.0
Aaron Carey,13,Aprilfurt,10,3,3,3.3333333333333335
Matthew Gray,10,South Jodifurt,8,3,3,2.6666666666666665
Carlos Ward,15,Williamsfurt,2,5,2,0.4
Corey Wheeler,10,West Barbara,5,2,3,2.5
John Douglas,18,Lake Christineton,3,5,2,0.6
Dan Mason,13,East Bradley,11,2,1,5.5
James Henderson,11,Port Brookeburgh,4,4,1,1.0
Holly Martin,15,South Williamborough,11,1,3,11.0
Rebecca Mitchell,18,New Chadton,4,1,3,4.0
Stephanie Hill,16,Port Ronaldview,8,5,2,1.6
Tracy Campbell,17,Haleyville,6,4,2,1.5
Brian Hall,16,East Jenniferhaven,4,3,3,1.3333333333333333
Billy Davis,18,Matthewhaven,3,2,2,1.5
Hannah Burns,17,Toddview,4,4,2,1.0
Steve Stanton,14,Port Patrick,11,4,2,2.75
David Wallace,14,New Johnberg,5,4,3,1.25
Andrew Mccarty,10,Port Andrew,9,3,1,3.0
Sharon Adams,14,Jodiville,10,3,2,3.3333333333333335
Brandon Weaver,11,North Tinaborough,7,2,1,3.5
Justin Jordan,13,Kimberlymouth,3,1,2,3.0
Steve Hutchinson,16,Rogersfort,1,5,3,0.2
James Alvarez,18,North Jon,7,2,2,3.5
Joshua Kemp,12,Woodardmouth,4,3,1,1.3333333333333333
Jenna Owen,18,East Pedrobury,7,3,3,2.3333333333333335
Nicole Escobar,18,Port Andrew,12,4,3,3.0
Brendan Adams,18,Solisshire,3,4,3,0.75
Michael James,17,North Joseland,11,3,3,3.6666666666666665
Justin Gomez,11,Jeffreyton,10,4,1,2.5
Taylor Thompson,17,Tracyburgh,11,4,3,2.75
Sandra Murray,14,Frankhaven,12,3,2,4.0
Lance Roberts,11,New Jonathan,6,4,3,1.5
Harry Martin,12,North Erinside,2,1,2,2.0
Martha Ellis,14,West Williamtown,7,1,2,7.0
Keith Alvarez,18,West Cindy,6,1,3,6.0
Sergio Lewis,14,Robertfort,2,2,3,1.0
Joshua Russell,14,North Andrewtown,10,1,3,10.0
Angela Mcbride,11,East Cheryl,4,4,2,1.0
Mr. Jesus Cortez,17,East Eric,5,2,1,2.5
Victoria Williams,14,East Christopherfurt,10,3,2,3.3333333333333335
Bryan Elliott,17,South Jessica,12,2,3,6.0
Matthew Turner,18,Andrewfort,6,1,2,6.0
Robert Brown,14,New Kristyburgh,6,4,3,1.5
Dennis Green,15,Wilsonmouth,11,3,1,3.6666666666666665
Jack Kaiser,11,Jessicaton,1,3,2,0.3333333333333333
Melissa Hardy,17,Danielstad,4,2,1,2.0
Lauren Paul,16,South Kathleen,11,2,2,5.5
Lisa Acosta,18,East Crystalmouth,8,2,1,4.0
Ernest Dunn,13,Sweeneyview,8,2,1,4.0
Tony Henderson,11,Johnbury,6,5,2,1.2
Lindsay Young,13,Lake Gloriaview,1,2,2,0.5
